depth         color
3270187  3298011
3270187  3298011
3270187  3298011
3270187  3298011
3270187  3298011
3303556  3331350
3303556  3331350
3303556  3331350
3303556  3331350
3303556  3331350
3336925  3364688
3336925  3364688
3336925  3364688
3336925  3364688
3336925  3364688
3370295  3398026
3370295  3398026
3370295  3398026
3370295  3398026
3370295  3398026
3403664  3431364
3403664  3431364
3403664  3431364
3403664  3431364
3403664  3431364
3437033  3464702
3437033  3464702
3437033  3464702
3437033  3464702
3437033  3464702
3437033  3464702
3470402  3498040
3470402  3498040
3470402  3498040
3470402  3498040
3470402  3498040
3503772  3531378
3503772  3531378
3503772  3531378
3503772  3531378
3537141  3564716
3537141  3564716
3537141  3564716
3537141  3564716
3537141  3564716
3570510  3598055
3570510  3598055
3570510  3598055
3570510  3598055
3570510  3598055
3603879  3631393
3603879  3631393
3603879  3631393
3603879  3631393
3603879  3631393
3637249  3664731
3637249  3664731
3637249  3664731
3637249  3664731
3637249  3664731
3670618  3698069
3670618  3698069
3670618  3698069
3670618  3698069
3703987  3731407
3703987  3731407
3703987  3731407
3703987  3731407
3703987  3731407
3737356  3764745
3737356  3764745
3737356  3764745
3737356  3764745
3737356  3764745
3737356  3764745
3770726  3798083
3770726  3798083
3770726  3798083
3770726  3798083
3770726  3798083
3770726  3798083
3804095  3831421
3804095  3831421
3804095  3831421
3804095  3831421
3804095  3831421
3804095  3831421
3837464  3864760
3837464  3864760
3837464  3864760
3837464  3864760
3870833  3898098
3870833  3898098
3870833  3898098
3870833  3898098
3870833  3898098
3904203  3931436
3904203  3931436
3904203  3931436
3904203  3931436
3904203  3931436
3937572  3964774
3937572  3964774
3937572  3964774
3937572  3964774
3937572  3964774
3937572  3964774
3970941  3998112
3970941  3998112
3970941  3998112
3970941  3998112
3970941  3998112
3970941  3998112
4004310  4031450
4004310  4031450
4004310  4031450
4004310  4031450
4004310  4031450
4037680  4064788
4037680  4064788
4037680  4064788
4037680  4064788
4037680  4064788
4071049  4098126
4071049  4098126
4071049  4098126
4071049  4098126
4104418  4131465
4104418  4131465
4104418  4131465
4104418  4131465
4104418  4131465
4137787  4164803
4137787  4164803
4137787  4164803
4137787  4164803
4171157  4198141
4171157  4198141
4171157  4198141
4171157  4198141
4171157  4198141
4171157  4198141
4204526  4231479
4204526  4231479
4204526  4231479
4204526  4231479
4204526  4231479
4237895  4264817
4237895  4264817
4237895  4264817
4237895  4264817
4271264  4298155
4271264  4298155
4271264  4298155
4271264  4298155
4271264  4298155
4304634  4331493
4304634  4331493
4304634  4331493
4304634  4331493
4338003  4364831
4338003  4364831
4338003  4364831
4338003  4364831
4338003  4364831
4338003  4364831
4371372  4398170
4371372  4398170
4371372  4398170
4371372  4398170
4371372  4398170
4404741  4431508
4404741  4431508
4404741  4431508
4404741  4431508
4438111  4464846
4438111  4464846
4438111  4464846
4438111  4464846
4438111  4464846
4438111  4464846
4471480  4498184
4471480  4498184
4471480  4498184
4471480  4498184
4471480  4498184
4504849  4531522
4504849  4531522
4504849  4531522
4504849  4531522
4504849  4531522
4504849  4531522
4538218  4564860
4538218  4564860
4538218  4564860
4538218  4564860
4571588  4598198
4571588  4598198
4571588  4598198
4571588  4598198
4571588  4598198
4571588  4598198
4604957  4631536
4604957  4631536
4604957  4631536
4604957  4631536
4638326  4664875
4638326  4664875
4638326  4664875
4638326  4664875
4671695  4698213
4671695  4698213
4671695  4698213
4671695  4698213
4671695  4698213
4705065  4731551
4705065  4731551
4705065  4731551
4705065  4731551
4705065  4731551
4738434  4764889
4738434  4764889
4738434  4764889
4738434  4764889
4771803  4798227
4771803  4798227
4771803  4798227
4771803  4798227
4771803  4798227
4805172  4831565
4805172  4831565
4805172  4831565
4805172  4831565
4805172  4831565
4805172  4831565
4838542  4864903
4838542  4864903
4838542  4864903
4838542  4864903
4871911  4898241
4871911  4898241
4871911  4898241
4871911  4898241
4905280  4931580
4905280  4931580
4905280  4931580
4905280  4931580
4938649  4964918
4938649  4964918
4938649  4964918
4938649  4964918
4938649  4964918
4972019  4998256
4972019  4998256
4972019  4998256
4972019  4998256
5005388  5031594
5005388  5031594
5005388  5031594
5005388  5031594
5005388  5031594
5038757  5064932
5038757  5064932
