depth         color          imu
13948347  13946518  13925514
13948347  13946518  13925514
13981716  13979856  13958381
14015085  14013194  13991102
14048455  14046532  14027867
14081824  14079871  14060665
14115193  14113209  14089364
14148562  14146547  14126266
14148562  14146547  14126266
14181932  14179885  14159019
14215301  14213223  14191806
14248670  14246561  14228603
14248670  14246561  14228603
14282039  14279899  14261338
14315409  14313237  14294094
14315409  14313237  14294094
14348778  14346576  14326901
14382147  14379914  14359654
14382147  14379914  14359654
14415516  14413252  14392400
14448886  14446590  14425178
14482255  14479928  14458028
14482255  14479928  14458028
14515624  14513266  14494896
14548993  14546604  14531713
14582363  14579942  14564454
14615732  14613281  14597218
14682470  14679957  14662731
14715840  14713295  14691406
14749209  14746633  14724187
14749209  14746633  14724187
14782578  14779971  14757003
14815947  14813309  14793776
14815947  14813309  14793776
14849317  14846647  14826553
14882686  14879986  14859356
14882686  14879986  14859356
14916055  14913324  14892113
14949424  14946662  14933060
14982794  14980000  14933060
14982794  14980000  14965797
15016163  15013338  14998569
15049532  15046676  15027255
15049532  15046676  15027255
15082901  15080014  15060027
15116271  15113352  15092808
15116271  15113352  15092808
15149640  15146691  15125564
15183009  15180029  15158319
15183009  15180029  15158319
15216378  15213367  15195185
15249748  15246705  15228028
15283117  15280043  15260725
15283117  15280043  15260725
15316486  15313381  15293573
15349855  15346719  15326330
15383225  15380057  15326330
15383225  15380057  15363101
15416594  15413396  15395877
15449963  15446734  15428661
15483332  15480072  15461400
15483332  15480072  15461400
15516702  15513410  15494216
15550071  15546748  15527029
15583440  15580086  15563839
15616809  15613424  15592498
15650179  15646762  15629415
15683548  15680101  15662212
15716917  15713439  15695063
15750286  15746777  15731732
15783656  15780115  15764504
15817025  15813453  15797244
15850394  15846791  15830103
15883763  15880129  15862788
15917133  15913467  15895609
15950502  15946806  15928349
15950502  15946806  15928349
15983871  15980144  15961109
16017240  16013482  15993911
16050610  16046820  16026669
16050610  16046820  16026669
16083979  16080158  16067557
16117348  16113496  16100340
16150717  16146834  16133101
16184087  16180172  16165875
16217456  16213511  16198656
16217456  16213511  16198656
16250825  16246849  16227346
16284194  16280187  16264177
16317564  16313525  16297029
16317564  16313525  16297029
16350933  16346863  16325608
16384302  16380201  16362497
16417671  16413539  16395272
16451041  16446877  16395272
16451041  16446877  16428038
16484410  16480216  16460854
16517779  16513554  16493599
16551148  16546892  16530398
16584518  16580230  16563172
16584518  16580230  16563172
16617887  16613568  16595978
16651256  16646906  16628711
16684625  16680244  16661477
16717995  16713582  16661477
16717995  16713582  16694309
16751364  16746921  16727058
16784733  16780259  16763922
16818102  16813597  16796683
16851472  16846935  16833475
16884841  16880273  16866262
16884841  16880273  16866262
16918210  16913611  16899003
16951579  16946949  16931798
16951579  16946949  16931798
16984949  16980287  16964551
17018318  17013626  16997330
17051687  17046964  17030082
17085056  17080302  17062858
17118426  17113640  17095682
17151795  17146978  17132571
17185164  17180316  17161162
17218533  17213654  17193944
17251903  17246992  17234850
17285272  17280331  17259475
17318641  17313669  17300428
17318641  17313669  17300428
17352010  17347007  17333215
17385380  17380345  17365932
17418749  17413683  17394595
17418749  17413683  17394595
17452118  17447021  17427374
17485487  17480359  17464251
17485487  17480359  17464251
17518857  17513697  17498726
17552226  17547036  17529755
17585595  17580374  17562606
17585595  17580374  17562606
17618964  17613712  17595407
17652334  17647050  17636295
17685703  17680388  17669032
17719072  17713726  17697715
17752441  17747064  17730514
17785811  17780402  17763258
17819180  17813741  17796025
17852549  17847079  17828788
17852549  17847079  17828788
17885918  17880417  17861554
17919288  17913755  17894291
17952657  17947093  17927065
17952657  17947093  17927065
17986026  17980431  17964026
18019395  18013769  18000806
18052765  18047107  18033570
18052765  18047107  18033570
18086134  18080446  18066297
18119503  18113784  18099056
18152872  18147122  18131876
18152872  18147122  18131876
18186242  18180460  18164617
18219611  18213798  18197447
18252980  18247136  18230144
18252980  18247136  18230144
18286349  18280474  18262894
18319719  18313812  18303846
18353088  18347151  18328476
18353088  18347151  18328476
18386457  18380489  18369380
18419826  18413827  18402203
18453196  18447165  18426817
18486565  18480503  18464079
18519934  18513841  18496347
18519934  18513841  18496347
18553303  18547179  18529170
18586673  18580517  18561886
18620042  18613856  18598732
18620042  18613856  18598732
18653411  18647194  18627432
18686780  18680532  18664314
18720150  18713870  18697126
18720150  18713870  18697126
18753519  18747208  18729922
18786888  18780546  18762701
18820257  18813884  18799453
18853627  18847222  18832243
18886996  18880561  18865029
18920365  18913899  18897749
18953734  18947237  18934600
18987104  18980575  18963277
19020473  19013913  19000204
19053842  19047251  19033034
19087211  19080589  19065796
19153950  19147266  19135368
19187319  19180604  19168050
19220688  19213942  19200825
19254058  19247280  19233603
19287427  19280618  19233603
19287427  19280618  19262284
19320796  19313956  19299161
19320796  19313956  19299161
19354165  19347294  19331903
19387535  19380632  19364661
19387535  19380632  19364661
19420904  19413971  19397454
19454273  19447309  19430237
19454273  19447309  19430237
19487642  19480647  19471147
19521012  19513985  19495784
19554381  19547323  19536673
19587750  19580661  19536673
19587750  19580661  19569514
19621119  19613999  19598117
19654489  19647337  19630989
19687858  19680676  19667751
19721227  19714014  19696408
